,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI
PM2.5,1.0,0.8464982323636056,0.43349112045278476,0.35070895594974105,0.43679216076361077,0.2750859785718146,0.08991185176598745,0.13232495323351212,0.16123757858407411,0.023911001116062734,0.11708022804557465,0.11457913665372077,0.6591810111093839
PM10,0.8464982323636056,1.0,0.5023494959087617,0.4643797879168589,0.5277681685199557,0.37681618072953893,0.11258786469331726,0.25697420007107163,0.2449189384812295,0.022265287102188662,0.1693347423941464,0.08169983457496179,0.8033134425895792
NO,0.43349112045278476,0.5023494959087617,1.0,0.4780695525348117,0.7948901656058581,0.18562086090989657,0.21260656936987946,0.1703223606515429,0.014580299481016554,0.0357714210675527,0.15085730429146776,0.09423665207313114,0.45219101452396243
NO2,0.35070895594974105,0.4643797879168589,0.4780695525348117,1.0,0.6276265532346685,0.2349382498912506,0.35652145064914037,0.3922327597825437,0.29334875093908813,0.02525991807982326,0.27392593482845645,0.1717014500967586,0.5370706906066145
NOx,0.43679216076361077,0.5277681685199557,0.7948901656058581,0.6276265532346685,1.0,0.16622427009791962,0.22699233957466627,0.23839658737275632,0.09316952190306708,0.039120909675174925,0.18938629346785038,0.08739786303943856,0.4864504354186624
NH3,0.2750859785718146,0.37681618072953893,0.18562086090989657,0.2349382498912506,0.16622427009791962,1.0,0.10489072559620885,-0.03899785889927793,0.09497207549148885,-0.01565040262007854,0.01322727962683385,-0.019813409237568073,0.25201875100983084
CO,0.08991185176598745,0.11258786469331726,0.21260656936987946,0.35652145064914037,0.22699233957466627,0.10489072559620885,1.0,0.48969672452803403,0.041735685907234206,0.06186056641344199,0.2779044986121492,0.1548891388124962,0.683346126250756
SO2,0.13232495323351212,0.25697420007107163,0.1703223606515429,0.3922327597825437,0.23839658737275632,-0.03899785889927793,0.48969672452803403,1.0,0.1621417711205244,0.03610973646924277,0.29613870872122866,0.2511947320198559,0.4905857887170849
O3,0.16123757858407411,0.2449189384812295,0.014580299481016554,0.29334875093908813,0.09316952190306708,0.09497207549148885,0.041735685907234206,0.1621417711205244,1.0,0.020254755066954767,0.13020851430970773,0.11140968082424958,0.1989905413869635
Benzene,0.023911001116062734,0.022265287102188662,0.0357714210675527,0.02525991807982326,0.039120909675174925,-0.01565040262007854,0.06186056641344199,0.03610973646924277,0.020254755066954767,1.0,0.7392864023719319,0.4154273542796475,0.04440672827950238
Toluene,0.11708022804557465,0.1693347423941464,0.15085730429146776,0.27392593482845645,0.18938629346785038,0.01322727962683385,0.2779044986121492,0.29613870872122866,0.13020851430970773,0.7392864023719319,1.0,0.42143218213115313,0.2799923302219678
Xylene,0.11457913665372077,0.08169983457496179,0.09423665207313114,0.1717014500967586,0.08739786303943856,-0.019813409237568073,0.1548891388124962,0.2511947320198559,0.11140968082424958,0.4154273542796475,0.42143218213115313,1.0,0.1655315389650034
AQI,0.6591810111093839,0.8033134425895792,0.45219101452396243,0.5370706906066145,0.4864504354186624,0.25201875100983084,0.683346126250756,0.4905857887170849,0.1989905413869635,0.04440672827950238,0.2799923302219678,0.1655315389650034,1.0
